#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-03-15 04:55:26
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-03-15 04:55:26 192.168.0.23 GET /index.htm 304 201 294 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1)
2003-03-15 05:04:43 216.58.208.15 GET /index.htm 200 7015 465 1015 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:07:25 216.58.208.15 GET /images/goodbye.jpg 200 22180 287 162328 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:07:47 216.58.208.15 GET /images/bg_gradient_home.jpg 200 4800 296 21485 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:07:48 216.58.208.15 GET /images/map_home_eth_line.jpg 200 42666 297 185219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:08:09 216.58.208.15 GET /favicon.ico 404 4203 213 32 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:08:11 216.58.208.15 GET /turkey.htm 200 7610 409 1468 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:08:32 216.58.208.15 GET /images/turkey2.jpg 200 6435 297 20922 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:08:55 216.58.208.15 GET /images/turkey1.jpg 200 6930 297 44031 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:08:57 216.58.208.15 GET /images/map_BG.jpg 200 0 296 2172 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:08:57 216.58.208.15 GET /images/turkey.jpg 200 0 296 25360 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:09:39 216.58.208.15 GET /images/map_BG.jpg 200 0 296 953 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:09:39 216.58.208.15 GET /images/turkey.jpg 206 0 404 985 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:10:23 216.58.208.15 GET /images/journaling2.gif 200 2288 316 20781 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:11:55 216.58.208.15 GET /images/turkey.jpg 200 21678 311 91125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:12:16 216.58.208.15 GET /images/map_BG.jpg 200 8918 311 21828 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 05:13:00 216.58.208.15 GET /turkey/turkey_journal.htm 200 94790 434 179312 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:14 216.58.207.209 GET /turkey/index.htm 200 14001 242 1672 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:15 216.58.207.209 GET /turkey/thumbnails/02_Epheses+.jpg 200 3403 320 1266 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:15 216.58.207.209 GET /turkey/thumbnails/01_We+made+it.jpg 200 3676 324 1750 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:15 216.58.207.209 GET /turkey/thumbnails/03_Barbara+and+Mommy.jpg 200 3215 331 813 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:16 216.58.207.209 GET /turkey/thumbnails/04_man+playing+saz+in+carpet+shop.jpg 200 4367 350 1578 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:16 216.58.207.209 GET /turkey/thumbnails/05_streetscape+with+fish+guys.jpg 200 3792 342 1688 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:18 216.58.207.209 GET /turkey/thumbnails/06_apartments+near+Kayseri.jpg 200 2929 337 1375 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:18 216.58.207.209 GET /turkey/thumbnails/07_Men+in+Kayseri+Cavanaserai.jpg 200 3640 342 1469 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:19:19 216.58.207.209 GET /turkey/thumbnails/08_Men+with+prayer+beads.jpg 200 1826 337 1093 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
