#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-03-17 04:31:49
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-03-17 04:31:49 216.223.140.14 GET /images/map_home_eth_line.jpg 304 163 258 0 HTTP/1.0 Mozilla/3.01+(compatible;)
2003-03-17 07:43:55 12.228.216.162 GET /index.htm 304 201 427 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-17 07:43:55 12.228.216.162 GET /images/goodbye.jpg 304 141 358 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-17 07:43:55 12.228.216.162 GET /images/map_home_eth_line.jpg 304 139 366 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-17 07:43:55 12.228.216.162 GET /images/bg_gradient_home.jpg 304 140 366 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-17 07:49:39 219.65.119.59 GET /index.htm 200 7015 324 1016 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:49:42 219.65.119.59 GET /images/goodbye.jpg 200 22180 255 2063 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:49:43 219.65.119.59 GET /images/map_home_eth_line.jpg 200 42666 265 2859 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:49:48 219.65.119.59 GET /images/bg_gradient_home.jpg 200 4800 264 985 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:51:15 219.65.119.59 GET /why.htm 200 12122 374 1578 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:51:18 219.65.119.59 GET /images/annie-barbara-paul-small.jpg 200 4392 279 985 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:51:18 219.65.119.59 GET /images/map_home_small.jpg 200 7309 269 1485 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:51:21 219.65.119.59 GET /images/header.gif 200 2014 261 500 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:51:23 219.65.119.59 GET /images/Annie_sm.jpg 200 8096 263 1453 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:51:24 219.65.119.59 GET /images/barbara.jpg 200 17529 262 1953 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:51:24 219.65.119.59 GET /images/map_BG.jpg 200 8918 261 1468 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:51:29 219.65.119.59 GET /images/Paul_sm.jpg 200 4772 262 968 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:52:01 219.65.119.59 GET /homeschool.htm 200 6241 388 985 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:52:04 219.65.119.59 GET /images/northwestschoollogo.jpg 200 4461 281 984 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:52:04 219.65.119.59 GET /images/northwestschool.jpg 200 21231 277 2063 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:52:26 219.65.119.59 GET /index.htm 200 6954 383 968 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:54:35 219.65.119.59 GET /usa.htm 200 7196 383 1015 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:54:39 219.65.119.59 GET /images/South+courtyard.jpg 200 18952 272 2063 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 07:54:39 219.65.119.59 GET /images/usa.jpg 200 22062 258 2125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+YComp+5.0.2.6)
2003-03-17 11:37:31 63.225.173.183 GET /index.htm 200 7015 337 266 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1)
2003-03-17 11:37:33 63.225.173.183 GET /images/map_home_eth_line.jpg 200 42666 278 1828 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1)
2003-03-17 11:37:33 63.225.173.183 GET /images/goodbye.jpg 200 22180 268 2031 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1)
2003-03-17 11:37:33 63.225.173.183 GET /images/bg_gradient_home.jpg 200 4800 277 515 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1)
2003-03-17 18:20:59 216.162.197.209 GET /index.htm 200 7015 337 344 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+NT+5.0)
2003-03-17 18:20:59 216.162.197.209 GET /images/bg_gradient_home.jpg 200 4800 277 203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+NT+5.0)
2003-03-17 18:21:01 216.162.197.209 GET /images/goodbye.jpg 200 22180 268 2125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+NT+5.0)
2003-03-17 18:21:01 216.162.197.209 GET /images/map_home_eth_line.jpg 200 42666 278 2016 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+NT+5.0)
2003-03-17 18:21:11 216.162.197.209 GET /japan.htm 200 6349 389 234 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+NT+5.0)
2003-03-17 18:21:11 216.162.197.209 GET /images/japan1.jpg 200 16493 276 594 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+NT+5.0)
2003-03-17 18:21:13 216.162.197.209 GET /images/japan.jpg 200 20598 275 1500 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+NT+5.0)
2003-03-17 18:21:13 216.162.197.209 GET /images/map_BG.jpg 200 8918 276 1031 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+NT+5.0)
2003-03-17 18:28:05 64.156.198.80 GET /ethiopia.htm 200 8050 141 218 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.0-rc5;+i686+Linux;+20020207)
2003-03-17 23:16:46 12.228.216.162 GET /index.htm 304 201 427 31 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-17 23:16:46 12.228.216.162 GET /images/goodbye.jpg 304 141 359 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-17 23:16:46 12.228.216.162 GET /images/bg_gradient_home.jpg 304 140 367 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-17 23:16:46 12.228.216.162 GET /images/map_home_eth_line.jpg 304 139 367 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
