#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-05-10 04:13:45
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-05-10 04:13:45 216.223.140.14 GET /images/journaling2.gif 304 165 251 16 HTTP/1.0 Mozilla/3.01+(compatible;)
2003-05-10 14:26:09 64.156.198.77 GET /ethiopia.htm 200 8050 135 235 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312464)
2003-05-10 20:38:29 64.156.198.80 GET /index.htm 200 7434 129 203 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.0-rc4;+i686+Linux;+20020825)
2003-05-10 20:50:11 12.82.129.151 GET /usa.htm 304 141 485 31 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Win+9x+4.90;+AT&T+WNS5.2)
2003-05-10 20:50:11 12.82.129.151 GET /images/bg_gradient_home.jpg 304 140 393 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Win+9x+4.90;+AT&T+WNS5.2)
2003-05-10 20:50:11 12.82.129.151 GET /images/usa.jpg 304 141 381 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Win+9x+4.90;+AT&T+WNS5.2)
2003-05-10 20:50:11 12.82.129.151 GET /images/South+courtyard.jpg 304 141 395 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Win+9x+4.90;+AT&T+WNS5.2)
2003-05-10 20:50:11 12.82.129.151 GET /images/map_BG.jpg 304 141 384 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Win+9x+4.90;+AT&T+WNS5.2)
2003-05-10 20:50:16 12.82.129.151 GET /laos.htm 304 141 536 47 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Win+9x+4.90;+AT&T+WNS5.2)
2003-05-10 20:50:16 12.82.129.151 GET /images/laos1.jpg 304 141 384 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Win+9x+4.90;+AT&T+WNS5.2)
2003-05-10 20:50:16 12.82.129.151 GET /images/laos2.jpg 304 141 384 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Win+9x+4.90;+AT&T+WNS5.2)
2003-05-10 20:50:16 12.82.129.151 GET /images/laos.jpg 304 140 382 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+Win+9x+4.90;+AT&T+WNS5.2)
2003-05-10 21:05:36 192.168.0.23 GET /index.htm 200 7434 280 125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1)
2003-05-10 21:05:36 192.168.0.23 GET /images/map_home_line_laos.jpg 200 35088 279 297 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1)
2003-05-10 21:05:36 192.168.0.23 GET /images/goodbye.jpg 200 22180 268 969 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1)
2003-05-10 21:05:38 192.168.0.23 GET /images/bg_gradient_home.jpg 200 4800 277 219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1)
