#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-06-10 06:21:26
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-06-10 06:21:26 216.223.140.14 GET /images/header.gif 304 165 246 125 HTTP/1.0 Mozilla/3.01+(compatible;)
2003-06-10 09:59:32 64.156.198.69 GET /ethiopia.htm 200 8050 141 281 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.0-rc4;+i686+Linux;+20020309)
2003-06-10 10:44:37 80.11.67.75 GET /index.htm 304 202 574 31 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 10:44:37 80.11.67.75 GET /images/goodbye.jpg 304 141 369 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 10:44:37 80.11.67.75 GET /images/bg_gradient_home.jpg 304 140 377 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 10:44:37 80.11.67.75 GET /images/map_beige_guat7.jpg 304 141 377 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 10:44:42 80.11.67.75 GET /images/journaling2.gif 304 141 394 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 10:44:42 80.11.67.75 GET /images/laos.jpg 304 140 386 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 10:44:45 80.11.67.75 GET /images/map_BG.jpg 304 141 389 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 10:44:47 80.11.67.75 GET /laos/laos_journal.htm 200 63870 476 4938 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:43 80.11.67.75 GET /spain/index.htm 304 141 323 32 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:43 80.11.67.75 GET /spain/thumbnails/Lucas_Roberto_y_Lucas_en_Sevilla.jpg 304 141 419 32 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:43 80.11.67.75 GET /spain/thumbnails/Morro_humping_Paul.jpg 304 141 405 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:43 80.11.67.75 GET /spain/thumbnails/B_reading_on_deck_of_Pilars_house_Sevilla.jpg 304 141 428 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:44 80.11.67.75 GET /spain/thumbnails/narrow_streets_barrio_Sta_Cruz_Sevilla.jpg 304 141 425 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:44 80.11.67.75 GET /spain/thumbnails/Alcazar_courtyard_Sevilla.jpg 304 141 412 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:44 80.11.67.75 GET /spain/thumbnails/Alcazar_underground_pool.jpg 304 141 411 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:44 80.11.67.75 GET /spain/thumbnails/Giralda+Tower_Sevilla.jpg 304 141 410 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:44 80.11.67.75 GET /spain/thumbnails/Sevilla_from_top_of_Giralda_Tower.jpg 304 141 420 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:44 80.11.67.75 GET /spain/thumbnails/AJ_feeding_birds_in_Sevilla.jpg 304 141 414 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:45 80.11.67.75 GET /spain/thumbnails/AJ_y_Inma_in_Sevilla_market.jpg 304 141 414 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:45 80.11.67.75 GET /spain/thumbnails/Paul_in_the_movie_Carmen_in_Sevilla.jpg 304 141 422 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:45 80.11.67.75 GET /spain/thumbnails/AJ+with+Trepadoro.jpg 304 141 408 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:45 80.11.67.75 GET /spain/thumbnails/Alcazar+hallway+looking+both+north+and+south.jpg 304 141 443 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:45 80.11.67.75 GET /spain/thumbnails/Calle+El+Chorro.jpg 304 141 406 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:28:45 80.11.67.75 GET /spain/thumbnails/El+Bosque+bride.jpg 304 141 406 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
