#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-06-15 02:35:30
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-06-15 02:35:30 64.156.198.69 GET /ethiopia.htm 200 8050 135 250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312466)
2003-06-15 02:41:35 12.207.208.194 GET /index.htm 200 7827 211 875 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:41:40 12.207.208.194 GET /images/goodbye.jpg 200 22180 272 2907 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:41:40 12.207.208.194 GET /images/bg_gradient_home.jpg 200 4800 281 485 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:41:43 12.207.208.194 GET /images/map_beige_guat7.jpg 200 44182 280 5922 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:08 12.207.208.194 GET /images/journaling2.gif 200 2288 297 375 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:12 12.207.208.194 GET /images/laos.jpg 200 21507 290 2875 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:13 12.207.208.194 GET /images/map_BG.jpg 200 8918 292 1078 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:16 12.207.208.194 GET /laos/laos_journal.htm 200 63870 446 9234 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:42 12.207.208.194 GET /laos/thumbnails/01_reclining+golden+buddah+(Bangkok).jpg 200 3512 330 328 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:42 12.207.208.194 GET /laos/index.htm 200 12059 225 1453 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:42 12.207.208.194 GET /laos/thumbnails/02_Bangkok+monk+with+stature+at+palace'.jpg 200 3961 339 485 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:42 12.207.208.194 GET /laos/thumbnails/03_Annie+in+whites+at+Wat+Pradhatu+sri+Chom+Tong.jpg 200 3344 352 266 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:42 12.207.208.194 GET /laos/thumbnails/04_Wat+Pradhatu+sri+Chom+Tong+stupa.jpg 200 2980 333 234 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:44 12.207.208.194 GET /laos/thumbnails/06_Lao+boatmen.jpg 200 3876 304 672 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:44 12.207.208.194 GET /laos/thumbnails/05_woman+with+baskets+in+Chiang+Mai.jpg 200 3737 333 578 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:44 12.207.208.194 GET /laos/thumbnails/07_kids+on+riverbank+with+B.jpg 200 2993 323 281 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:44 12.207.208.194 GET /laos/thumbnails/08_Hmong+family+on+bus+back.jpg 200 4387 323 500 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:44 12.207.208.194 GET /laos/thumbnails/09_Lao+new+year+-+getting+splashed.jpg 200 3411 332 297 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:45 12.207.208.194 GET /laos/thumbnails/10_Luang+Prabang+night+market.jpg 200 4620 323 453 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:45 12.207.208.194 GET /laos/thumbnails/12_Nam+Ou+River+in+the+mist.jpg 200 2023 325 63 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:45 12.207.208.194 GET /laos/thumbnails/11_Haw+Pha+Bang+Wat+-+Luang+Prabang.jpg 200 4287 335 547 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:45 12.207.208.194 GET /laos/thumbnails/13_Ban+Soupjem+main+street.jpg 200 2970 320 312 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:45 12.207.208.194 GET /laos/thumbnails/14_burning+fields+-+looking+across+river.jpg 200 2846 338 250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:45 12.207.208.194 GET /laos/thumbnails/15_Phouy+fishing.jpg 200 2355 306 312 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:46 12.207.208.194 GET /laos/thumbnails/17_woman+tossing+rice.jpg 200 3332 313 250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:46 12.207.208.194 GET /laos/thumbnails/16_Phouy+fixing+net.jpg 200 3686 311 593 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:46 12.207.208.194 GET /laos/thumbnails/18_La+cooking.jpg 200 3051 303 219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:46 12.207.208.194 GET /laos/thumbnails/19_little+one+in+kitchen.jpg 200 3153 318 266 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:46 12.207.208.194 GET /laos/thumbnails/20_girls+line+up.jpg 200 3401 308 250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:46 12.207.208.194 GET /laos/thumbnails/22_Making+turbine+shaft.jpg 200 3373 315 203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:47 12.207.208.194 GET /laos/thumbnails/21_small+scale+hydro.jpg 200 4032 312 594 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:47 12.207.208.194 GET /laos/thumbnails/23_hanging+elec+wires.jpg 200 3184 313 250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:47 12.207.208.194 GET /laos/thumbnails/24_Eun+Huean+weaving.jpg 200 3706 312 516 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:47 12.207.208.194 GET /laos/thumbnails/25_woman+helping+annie+weave.jpg 200 3429 322 328 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:47 12.207.208.194 GET /laos/thumbnails/26_the+finished+fabric.jpg 200 3160 314 250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:47 12.207.208.194 GET /laos/thumbnails/28_water+buffalo+at+Phouys+rice+field.jpg 200 3305 335 219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:48 12.207.208.194 GET /laos/thumbnails/27_Phouy+weaving+basket.jpg 200 3634 315 563 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:48 12.207.208.194 GET /laos/thumbnails/29_wedding+party.jpg 200 3640 306 578 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:48 12.207.208.194 GET /laos/thumbnails/30_blessing+ceremony.jpg 200 3186 310 297 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:42:48 12.207.208.194 GET /laos/thumbnails/31_blessing+toast.jpg 200 3633 307 625 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:43:01 12.207.208.194 GET /laos/pages/12_Nam+Ou+River+in+the+mist.htm 200 1817 491 109 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:43:01 12.207.208.194 GET /laos/images/previous.gif 200 609 330 172 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:43:01 12.207.208.194 GET /laos/images/home.gif 200 614 326 171 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:43:01 12.207.208.194 GET /laos/images/next.gif 200 600 326 157 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:43:04 12.207.208.194 GET /laos/images/12_Nam+Ou+River+in+the+mist.jpg 200 21639 359 3031 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:43:13 12.207.208.194 GET /laos/pages/13_Ban+Soupjem+main+street.htm 200 1720 486 109 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:43:20 12.207.208.194 GET /laos/images/13_Ban+Soupjem+main+street.jpg 200 47592 349 6656 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:43:26 12.207.208.194 GET /laos/pages/28_water+buffalo+at+Phouys+rice+field.htm 200 1848 501 125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:43:34 12.207.208.194 GET /laos/images/28_water+buffalo+at+Phouys+rice+field.jpg 200 55434 379 7640 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:10 12.207.208.194 GET /images/bg_gradient_home.jpg 304 140 397 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:10 12.207.208.194 GET /images/journaling2.gif 304 141 393 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:10 12.207.208.194 GET /pakistan/pakistan_journal.htm 200 11056 454 1578 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:10 12.207.208.194 GET /images/map_BG.jpg 304 141 388 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
