#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-07-13 11:15:44
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-07-13 11:15:44 64.156.198.78 GET /ethiopia.htm 200 8050 141 234 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.0-rc5;+i686+Linux;+20020111)
2003-07-13 18:55:41 64.156.198.78 GET /index.htm 200 7827 123 1421 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312468)
2003-07-13 21:00:35 66.32.234.212 GET /index.htm 200 7827 216 594 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:00:37 66.32.234.212 GET /images/map_beige_guat7.jpg 200 44182 285 2000 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:00:37 66.32.234.212 GET /images/goodbye.jpg 200 22180 277 2203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:00:37 66.32.234.212 GET /images/bg_gradient_home.jpg 200 4800 286 531 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:00:56 66.32.234.212 GET /why.htm 200 12122 427 516 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:00:56 66.32.234.212 GET /images/map_home_small.jpg 200 7309 291 343 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:00:56 66.32.234.212 GET /images/annie-barbara-paul-small.jpg 200 4392 301 453 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:00:56 66.32.234.212 GET /images/header.gif 200 2014 283 219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:00:56 66.32.234.212 GET /images/Annie_sm.jpg 200 8096 285 328 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:00:57 66.32.234.212 GET /images/map_BG.jpg 200 8918 283 579 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:00:57 66.32.234.212 GET /images/barbara.jpg 200 17529 284 1109 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:00:57 66.32.234.212 GET /images/Paul_sm.jpg 200 4772 284 796 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:02:04 66.32.234.212 GET /guatemala.htm 200 9672 440 703 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:02:04 66.32.234.212 GET /images/guat2.jpg 200 6144 288 328 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:02:04 66.32.234.212 GET /images/guat1.jpg 200 5508 288 578 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:02:05 66.32.234.212 GET /images/header_guat.jpg 200 21628 294 890 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:02:49 66.32.234.212 GET /france.htm 200 7854 437 453 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
2003-07-13 21:02:49 66.32.234.212 GET /images/france1.jpg 200 14343 287 578 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312461)
