#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-09-30 18:49:20
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-09-30 18:49:20 64.156.198.75 GET /index.htm 200 7827 129 156 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.1-rc3;+i686+Linux;+20020522)
2003-09-30 21:58:16 64.156.198.77 GET /ethiopia.htm 200 8050 141 203 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.0-rc2;+i686+Linux;+20020615)
2003-09-30 23:36:20 63.195.88.133 GET /index.htm 200 7827 567 391 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:36:20 63.195.88.133 GET /images/bg_gradient_home.jpg 200 4800 637 234 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:36:20 63.195.88.133 GET /favicon.ico 404 4203 578 0 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:36:22 63.195.88.133 GET /images/goodbye.jpg 200 22180 628 1359 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:36:24 63.195.88.133 GET /images/map_beige_guat7.jpg 200 44182 636 2468 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:36:54 63.195.88.133 GET /why.htm 200 12122 617 453 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:36:54 63.195.88.133 GET /images/map_home_small.jpg 200 7309 642 250 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:36:54 63.195.88.133 GET /images/header.gif 200 2014 634 157 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:36:54 63.195.88.133 GET /images/Annie_sm.jpg 200 8096 636 172 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:36:54 63.195.88.133 GET /images/annie-barbara-paul-small.jpg 200 4392 652 282 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:36:55 63.195.88.133 GET /images/Paul_sm.jpg 200 4772 635 406 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:36:55 63.195.88.133 GET /images/map_BG.jpg 200 8918 634 938 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:36:55 63.195.88.133 GET /images/barbara.jpg 200 17529 635 1078 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:39:16 63.195.88.133 GET /index.htm 200 7766 626 375 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:40:40 63.195.88.133 GET /homeschool.htm 200 6241 633 234 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:40:40 63.195.88.133 GET /images/northwestschoollogo.jpg 200 4461 654 422 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:40:40 63.195.88.133 GET /images/northwestschool.jpg 200 21231 650 625 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:41:17 63.195.88.133 GET /fatma.htm 200 12972 576 547 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:41:17 63.195.88.133 GET /images/necklace.jpg 200 11674 638 406 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:42:13 63.195.88.133 GET /turkey.htm 200 7610 634 312 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:42:13 63.195.88.133 GET /images/turkey1.jpg 200 6930 638 172 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:42:13 63.195.88.133 GET /images/turkey2.jpg 200 6435 638 250 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:42:14 63.195.88.133 GET /images/turkey.jpg 200 21678 637 984 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:42:28 63.195.88.133 GET /images/journaling2.gif 200 2288 657 906 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:42:30 63.195.88.133 GET /turkey/turkey_journal.htm 200 94790 645 3219 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:45:45 63.195.88.133 GET /laos.htm 200 8353 628 297 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:45:45 63.195.88.133 GET /images/laos1.jpg 200 14610 634 265 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:45:45 63.195.88.133 GET /images/laos2.jpg 200 6199 634 515 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:45:47 63.195.88.133 GET /images/laos.jpg 200 21507 633 1062 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:45:53 63.195.88.133 GET /laos/laos_journal.htm 200 63870 639 2188 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:09 63.195.88.133 GET /turkey/index.htm 200 14001 583 438 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:09 63.195.88.133 GET /turkey/thumbnails/01_We+made+it.jpg 200 3676 665 250 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:09 63.195.88.133 GET /turkey/thumbnails/02_Epheses+.jpg 200 3403 661 360 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:09 63.195.88.133 GET /turkey/thumbnails/05_streetscape+with+fish+guys.jpg 200 3792 683 281 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:09 63.195.88.133 GET /turkey/thumbnails/03_Barbara+and+Mommy.jpg 200 3215 672 531 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:09 63.195.88.133 GET /turkey/thumbnails/04_man+playing+saz+in+carpet+shop.jpg 200 4367 691 531 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:09 63.195.88.133 GET /turkey/thumbnails/06_apartments+near+Kayseri.jpg 200 2929 678 265 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
