#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2004-03-23 17:44:10
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2004-03-23 17:44:10 66.194.6.75 GET /index.htm 200 7827 123 141 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312462)
2004-03-23 19:20:49 161.181.53.10 GET /index.htm 200 7851 362 344 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-03-23 19:20:49 161.181.53.10 GET /images/goodbye.jpg 200 22204 398 656 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-03-23 19:20:49 161.181.53.10 GET /images/bg_gradient_home.jpg 200 4824 407 578 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-03-23 19:20:49 161.181.53.10 GET /images/bg_gradient_home.jpg 200 4824 407 781 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-03-23 19:20:51 161.181.53.10 GET /images/map_beige_guat7.jpg 200 44206 392 2250 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-03-23 19:20:59 161.181.53.10 GET /index.htm 304 226 429 0 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-03-23 19:20:59 161.181.53.10 GET /images/goodbye.jpg 304 165 465 0 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-03-23 19:20:59 161.181.53.10 GET /images/bg_gradient_home.jpg 304 164 474 0 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-03-23 19:20:59 161.181.53.10 GET /images/map_beige_guat7.jpg 304 165 459 0 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
2004-03-23 19:20:59 161.181.53.10 GET /images/bg_gradient_home.jpg 304 164 474 0 HTTP/1.0 Mozilla/4.77C-CCK-MCD+{C-UDP;+EBM-APPLE}+(Macintosh;+U;+PPC)
