#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2004-07-16 04:04:49
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2004-07-16 04:04:49 66.194.6.72 GET /index.htm 200 7827 129 125 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.0-rc2;+i686+Linux;+20021119)
2004-07-16 17:11:44 65.116.71.233 GET /index.htm 200 7851 229 343 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:11:46 65.116.71.233 GET /images/map_beige_guat7.jpg 200 44206 298 1750 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:11:46 65.116.71.233 GET /images/goodbye.jpg 200 22204 290 2093 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:11:46 65.116.71.233 GET /images/bg_gradient_home.jpg 200 4824 299 390 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:11:51 65.116.71.233 GET /ethiopia.htm 200 8074 445 375 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:11:51 65.116.71.233 GET /images/ethiopia1.jpg 200 17938 304 750 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:11:53 65.116.71.233 GET /images/map_BG.jpg 200 8942 301 1032 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:11:53 65.116.71.233 GET /images/ethiopia.jpg 200 22082 303 1719 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:45 65.116.71.233 GET /ethiopia/index.htm 200 8350 247 359 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:45 65.116.71.233 GET /ethiopia/thumbnails/01Addis+bus+station.jpg 200 2318 337 203 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:45 65.116.71.233 GET /ethiopia/thumbnails/02roadside+ping+pong.jpg 200 3138 338 109 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:45 65.116.71.233 GET /ethiopia/thumbnails/03Blue+Nile+Falls.jpg 200 3233 335 234 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:45 65.116.71.233 GET /ethiopia/thumbnails/04Bahar+Dar+Timket+parade.jpg 200 4347 345 172 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:45 65.116.71.233 GET /ethiopia/thumbnails/05Ababa+roasting+coffee+beans.jpg 200 3465 349 250 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:45 65.116.71.233 GET /ethiopia/thumbnails/06sorting+beans+in+courtyard.jpg 200 3653 348 235 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:45 65.116.71.233 GET /ethiopia/thumbnails/07jumping+rope+in+courtyard.jpg 200 3369 347 250 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:45 65.116.71.233 GET /ethiopia/thumbnails/08B's+injera.jpg 200 2948 330 281 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:46 65.116.71.233 GET /ethiopia/thumbnails/09Annie+spinning.jpg 200 3414 332 250 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:46 65.116.71.233 GET /ethiopia/thumbnails/10Debre+Berhan+Selasie+ceiling.jpg 200 3932 350 250 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:46 65.116.71.233 GET /ethiopia/thumbnails/11village+horizontal.jpg 200 1691 336 94 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:46 65.116.71.233 GET /ethiopia/thumbnails/12town+from+church.jpg 200 3214 336 234 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:46 65.116.71.233 GET /ethiopia/thumbnails/13Admasi+houses.jpg 200 2907 331 187 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:46 65.116.71.233 GET /ethiopia/thumbnails/14_7th+graders+at+home.jpg 200 2054 342 78 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:46 65.116.71.233 GET /ethiopia/thumbnails/15hike+from+home.jpg 200 2161 334 219 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:46 65.116.71.233 GET /ethiopia/thumbnails/16jaegew+and+cows.jpg 200 3147 335 172 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:46 65.116.71.233 GET /ethiopia/thumbnails/17kesi+admasi+casi.jpg 200 3436 336 234 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:46 65.116.71.233 GET /ethiopia/thumbnails/18maganite+basket+weaving.jpg 200 3178 343 219 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:46 65.116.71.233 GET /ethiopia/thumbnails/19congregation.jpg 200 3396 328 110 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:47 65.116.71.233 GET /ethiopia/thumbnails/20church+-+men's+entrance.jpg 200 3123 347 234 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:47 65.116.71.233 GET /ethiopia/thumbnails/21church+painting.jpg 200 4395 333 203 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:47 65.116.71.233 GET /ethiopia/thumbnails/22coffee+shop+girls.jpg 200 3250 337 469 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:12:47 65.116.71.233 GET /ethiopia/thumbnails/23school+kids+w-b.jpg 200 3757 335 516 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:13:44 65.116.71.233 GET /ethiopia/pages/03Blue+Nile+Falls.htm 200 1869 491 140 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:13:44 65.116.71.233 GET /ethiopia/images/home.gif 200 638 336 125 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:13:44 65.116.71.233 GET /ethiopia/images/previous.gif 200 633 340 141 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:13:44 65.116.71.233 GET /ethiopia/images/next.gif 200 624 336 188 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:13:46 65.116.71.233 GET /ethiopia/images/03Blue+Nile+Falls.jpg 200 47772 353 1516 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:14:11 65.116.71.233 GET /ethiopia/pages/02roadside+ping+pong.htm 200 1619 494 93 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:14:13 65.116.71.233 GET /ethiopia/images/02roadside+ping+pong.jpg 200 44576 359 1797 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:14:35 65.116.71.233 GET /ethiopia/pages/04Bahar+Dar+Timket+parade.htm 200 1754 523 172 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:14:37 65.116.71.233 GET /ethiopia/images/04Bahar+Dar+Timket+parade.jpg 200 63435 373 1984 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:14:54 65.116.71.233 GET /ethiopia/pages/05Ababa+roasting+coffee+beans.htm 200 1953 537 109 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:14:55 65.116.71.233 GET /ethiopia/images/05Ababa+roasting+coffee+beans.jpg 200 59363 381 1859 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:15:04 65.116.71.233 GET /ethiopia/pages/06sorting+beans+in+courtyard.htm 200 1744 540 109 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
