#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2004-09-28 16:00:00
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2004-09-28 16:00:00 66.196.90.69 GET /robots.txt 404 4184 201 16 HTTP/1.0 Mozilla/5.0+(compatible;+Yahoo!+Slurp;+http://help.yahoo.com/help/us/ysearch/slurp)
2004-09-28 16:18:10 66.194.6.72 GET /index.htm 200 0 123 206703 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Q312463)
2004-09-28 22:59:47 24.18.215.242 GET /index.htm 200 7827 392 437 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:47 24.18.215.242 GET /images/goodbye.jpg 200 22180 292 750 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:49 24.18.215.242 GET /images/map_beige_guat7.jpg 200 44182 300 1203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:49 24.18.215.242 GET /images/bg_gradient_home.jpg 200 4800 301 375 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:54 24.18.215.242 GET /pakistan/pakistan_journal.htm 200 11056 464 406 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:54 24.18.215.242 GET /images/journaling2.gif 200 2288 325 203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:54 24.18.215.242 GET /images/map_BG.jpg 200 8918 320 734 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:54 24.18.215.242 GET /images/pakistan.jpg 200 21877 322 954 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:56 24.18.215.242 GET /pakistan/index.htm 200 8588 249 328 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:56 24.18.215.242 GET /pakistan/thumbnails/01skyline.jpg 200 2457 325 188 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:56 24.18.215.242 GET /pakistan/thumbnails/02boats+old+skylline.jpg 200 3109 340 125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:56 24.18.215.242 GET /pakistan/thumbnails/03watertaxiskylline.jpg 200 3346 335 187 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:56 24.18.215.242 GET /pakistan/thumbnails/04boat+crew.jpg 200 4289 329 250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:56 24.18.215.242 GET /pakistan/thumbnails/05christmas+tree.jpg 200 3025 334 204 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:56 24.18.215.242 GET /pakistan/thumbnails/06Iranian+mosque.jpg 200 3813 334 187 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:56 24.18.215.242 GET /pakistan/thumbnails/07crazy+families.jpg 200 2740 334 140 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:56 24.18.215.242 GET /pakistan/thumbnails/08new+year's+day+on+beach.+jpg.jpg 200 2396 358 109 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:56 24.18.215.242 GET /pakistan/thumbnails/filler.jpg 200 1023 322 94 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:56 24.18.215.242 GET /pakistan/thumbnails/11sunset+fishing+boat.jpg 200 2286 341 157 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
2004-09-28 22:59:56 24.18.215.242 GET /pakistan/thumbnails/12weddingnight.jpg 200 2721 330 171 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322)
